Tarih;EIB;EIC;HBU;HVS;HVT;HVZ;KUB;MKG;PPZ;RPP;KPP;SUA;SUC;TNK;TPC;F_XU0300424;Fm_XU0300424;F_XU0300624;Fm_XU0300624;TI2;PPN;TBT;TKM
1.10.2020;145706;0;0;0;0;0;142118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.11.2020;133706;0;0;0;0;0;142118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.11.2020;133706;0;0;0;0;0;142118;0;834;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.11.2020;133706;0;0;0;0;0;138501,3333;0;2455;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.11.2020;133706;0;0;0;0;0;134884,6667;0;4076;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.11.2020;133706;0;0;0;0;0;131268;0;5697;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.11.2020;133706;0;0;0;0;0;131268;0;7597;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.11.2020;133706;0;0;0;0;0;131268;0;8270,666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2020;133706;0;0;0;0;0;131268;0;8944,333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.11.2020;133706;0;0;0;0;0;131268;0;9618;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.12.2020;133706;0;0;0;0;0;131268;0;13338;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.12.2020;133706;0;0;0;0;0;131268;0;14136;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2020;133706;0;0;0;0;0;131268;0;14934;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2020;133706;0;0;0;0;0;131268;0;15732;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.12.2020;133706;0;0;0;0;0;131268;0;26735;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.12.2020;133706;0;0;0;0;0;131268;0;26735;0;0;0;0;177;0;0;0;0;0;0;0;0;0
27.12.2020;133706;0;0;0;0;0;131268;0;26735;0;0;0;0;354;0;0;0;0;0;0;0;0;0
28.12.2020;133706;0;0;0;0;0;131268;0;26735;0;0;0;0;531;0;0;0;0;0;0;0;0;0
29.12.2020;133706;0;0;0;0;0;131268;0;28935;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.12.2020;133706;0;0;0;0;0;131268;0;35067;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.01.2021;133706;0;0;0;0;0;131268;0;28317;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.01.2021;133706;0;0;0;0;0;131268;0;21567;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.01.2021;133706;0;0;0;0;0;131268;0;14817;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.01.2021;133706;0;0;0;0;0;131268;0;8067;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.01.2021;133706;0;0;0;0;0;131268;0;30189;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.01.2021;106706;0;0;0;0;0;131268;0;30189;0;0;0;0;215;0;0;0;0;0;0;0;0;0
13.01.2021;106706;0;0;0;0;0;131268;0;30189;0;0;0;0;500;0;0;0;0;0;0;0;0;0
14.01.2021;106706;0;0;0;0;0;105268;0;30189;0;0;0;1594;14;0;0;0;0;0;0;0;0;0
15.01.2021;106706;0;0;0;0;0;105268;0;35738;0;0;0;1594;0;0;0;0;0;0;0;0;0;0
16.01.2021;106706;0;0;0;0;0;105268;0;35738;0;0;0;2127,333333;0;0;0;0;0;0;0;0;0;0
17.01.2021;106706;0;0;0;0;0;105268;0;35738;0;0;0;2660,666667;0;0;0;0;0;0;0;0;0;0
18.01.2021;106706;0;0;0;0;0;105268;0;35738;0;0;0;3194;0;0;0;0;0;0;0;0;0;0
19.01.2021;106706;0;0;0;0;0;105268;0;36268;0;0;0;3194;0;0;0;0;0;0;0;0;0;0
29.01.2021;106706;0;0;0;0;0;105268;0;43419;0;0;0;3194;0;0;0;0;0;0;0;0;0;0
3.02.2021;106706;0;0;0;0;0;105268;0;39919;0;0;0;3194;0;0;0;0;0;0;0;0;0;0
5.02.2021;106706;0;0;0;0;0;105268;0;39169;0;0;0;3194;0;0;0;0;0;0;0;0;0;0
11.02.2021;106706;0;0;0;0;0;105268;0;31669;0;0;0;3194;796;0;0;0;0;0;0;0;0;0
12.02.2021;106706;0;0;0;0;0;105268;0;31669;0;0;0;3194;0;0;0;0;0;0;0;0;0;0
13.02.2021;106706;0;0;0;0;0;105268;0;31669;0;0;36509;3194;0;0;0;0;0;0;0;0;0;0
14.02.2021;106706;0;0;0;0;0;105268;0;31669;0;0;73018;3194;0;0;0;0;0;0;0;0;0;0
15.02.2021;106706;0;0;0;0;0;105268;0;31669;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
17.02.2021;106706;0;0;0;0;0;105268;0;38569;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
26.02.2021;106706;0;0;0;0;0;105268;0;37069;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
2.03.2021;106706;0;0;0;0;0;105268;0;33569;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
6.03.2021;106706;0;0;0;0;0;105268;0;33377,33333;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
7.03.2021;106706;0;0;0;0;0;105268;0;33185,66667;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
8.03.2021;106706;0;0;0;0;0;105268;0;32994;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
2.04.2021;106706;0;0;0;0;0;105268;0;31019;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
1.05.2021;106706;0;0;0;0;0;105268;0;30019;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
2.05.2021;106706;0;0;0;0;0;105268;0;29019;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
3.05.2021;106706;0;0;0;0;0;105268;0;28019;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
11.05.2021;106706;0;0;0;0;0;105268;0;30734;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
2.06.2021;106706;0;0;0;0;0;105268;0;31599;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
5.06.2021;106706;0;0;0;0;0;105268;0;31349;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
6.06.2021;106706;0;0;0;0;0;105268;0;31099;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
7.06.2021;106706;0;0;0;0;0;105268;0;30849;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
8.06.2021;106706;0;0;0;0;0;105268;0;30269;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
12.06.2021;106706;0;0;0;0;0;105268;0;29945,66667;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
13.06.2021;106706;0;0;0;0;0;105268;0;29622,33333;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
14.06.2021;106706;0;0;0;0;0;105268;0;29299;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
15.06.2021;106706;0;0;0;0;0;105268;0;32469;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
16.06.2021;106706;0;0;0;0;0;105268;0;34229;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
26.06.2021;106706;0;0;0;0;0;105268;0;29929;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
27.06.2021;106706;0;0;0;0;0;105268;0;25629;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
28.06.2021;106706;0;0;0;0;0;105268;0;21329;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
15.07.2021;106706;0;0;0;0;0;105268;0;24231,5;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
16.07.2021;106706;0;0;0;0;0;105268;0;27134;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
3.08.2021;106706;0;0;0;0;0;105268;0;45134;0;0;109527;3194;0;0;0;0;0;0;0;0;0;0
4.08.2021;183706;0;0;0;0;0;105268;0;45134;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
21.08.2021;183706;0;0;0;0;0;105268;0;45134;0;0;179197;3194;1364,666667;0;0;0;0;0;0;0;0;0
22.08.2021;183706;0;0;0;0;0;105268;0;45134;0;0;179197;3194;2729,333333;0;0;0;0;0;0;0;0;0
23.08.2021;183706;0;0;0;0;0;105268;0;45134;0;0;179197;3194;4094;0;0;0;0;0;0;0;0;0
24.08.2021;183706;0;0;0;0;0;105268;0;45134;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
25.08.2021;183706;0;0;0;0;0;105268;0;37634;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
1.09.2021;183706;0;0;0;0;0;105268;0;37634;0;0;179197;3194;2452;0;0;0;0;0;0;0;0;0
2.09.2021;183706;0;0;0;0;0;105268;0;58218;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
3.09.2021;183706;0;0;0;0;0;105268;0;56518;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
4.09.2021;183706;0;0;0;0;0;105268;0;56166,33333;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
5.09.2021;183706;0;0;0;0;0;105268;0;55814,66667;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
6.09.2021;183706;0;0;0;0;0;105268;0;55463;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
11.09.2021;183706;0;0;0;0;0;105268;0;55041,33333;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
12.09.2021;183706;0;0;0;0;0;105268;0;54619,66667;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
13.09.2021;183706;0;0;0;0;0;105268;0;54198;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
15.09.2021;183706;0;0;0;0;0;105268;0;53548;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
16.09.2021;183706;223571;0;0;0;0;136108;0;53548;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
28.09.2021;183706;223571;0;0;0;0;136108;0;47048;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
30.09.2021;183706;223571;0;0;0;0;136108;0;54338;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
2.10.2021;183706;223571;0;0;0;0;136108;0;52658,66667;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
3.10.2021;183706;223571;0;0;0;0;136108;0;50979,33333;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
4.10.2021;183706;223571;0;0;0;0;136108;0;49300;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
6.10.2021;183706;223571;0;0;0;0;136108;0;48650;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
9.10.2021;183706;223571;0;0;0;0;136108;0;32433,33333;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
10.10.2021;183706;223571;0;0;0;0;136108;0;16216,66667;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
11.10.2021;183706;223571;0;0;0;0;136108;0;0;0;0;179197;3194;0;0;0;0;0;0;0;0;0;0
12.10.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;0;0;0;0;0;0;0;0;0;0
15.10.2021;0;223571;0;0;0;0;136108;0;7029;0;0;179197;0;0;0;0;0;0;0;0;0;0;0
16.10.2021;0;223571;0;0;0;0;136108;0;7029;0;0;179197;0;0,333333333;0;0;0;0;0;0;0;0;0
17.10.2021;0;223571;0;0;0;0;136108;0;7029;0;0;179197;0;0,666666667;0;0;0;0;0;0;0;0;0
18.10.2021;0;223571;0;0;0;0;136108;0;7029;0;0;179197;0;1;0;0;0;0;0;0;0;0;0
3.11.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;32;0;0;0;0;0;0;0;0;0
5.11.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;31;0;0;0;0;0;0;0;0;0
13.11.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;31,33333333;0;0;0;0;0;0;0;0;0
14.11.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;31,66666667;0;0;0;0;0;0;0;0;0
15.11.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;32;0;0;0;0;0;0;0;0;0
26.11.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;0;0;0;0;0;0;0;0;0;0
1.12.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;1;0;0;0;0;0;0;0;0;0
11.12.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;0,666666667;0;0;0;0;0;0;0;0;0
12.12.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;0,333333333;0;0;0;0;0;0;0;0;0
13.12.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;0;0;0;0;0;0;0;0;0;0
15.12.2021;0;223571;0;0;0;0;136108;0;0;0;0;179197;0;32;0;0;0;0;0;0;0;0;0
17.12.2021;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;32;0;0;0;0;0;0;0;0;0
1.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;21,66666667;0;0;0;0;0;0;0;0;0
2.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;11,33333333;0;0;0;0;0;0;0;0;0
3.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;1;0;0;0;0;0;0;0;0;0
4.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;4;0;0;0;0;0;0;0;0;0
6.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;1024;0;0;0;0;0;0;0;0;0
7.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;2;0;0;0;0;0;0;0;0;0
8.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;2,333333333;1380;0;0;0;0;0;0;0;0
9.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;2,666666667;2760;0;0;0;0;0;0;0;0
10.01.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;3;4140;0;0;0;0;0;0;0;0
16.02.2022;64968;223571;0;0;0;0;136108;0;2931;0;0;179197;0;3;4140;0;0;0;0;0;0;0;0
9.03.2022;64968;223571;0;0;0;0;136108;0;2331;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
10.03.2022;64968;223571;0;0;0;0;136108;0;2331;0;0;179197;0;2;4140;0;0;0;0;0;0;0;0
29.03.2022;64968;223571;0;0;0;0;136108;0;0;0;0;179197;0;0;4140;0;0;0;0;0;0;0;0
1.04.2022;64968;223571;34600;0;0;0;136108;0;0;0;0;179197;0;3;4140;0;0;0;0;0;0;0;0
5.04.2022;64968;223571;34600;0;0;0;136108;0;3873;0;0;179197;0;5;4140;0;0;0;0;0;0;0;0
12.04.2022;64968;223571;34600;0;0;0;136108;0;3873;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
15.04.2022;64968;223571;34600;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
16.04.2022;64968;223571;49233,33333;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
17.04.2022;64968;223571;63866,66667;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
18.04.2022;64968;223571;78500;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
20.04.2022;64968;223571;119800;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
6.05.2022;64968;223571;149200;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
10.05.2022;64968;223571;149200;0;0;0;136108;0;0;0;0;179197;0;28;4140;0;0;0;0;0;0;0;0
11.05.2022;64968;223571;175600;0;0;0;136108;0;0;0;0;179197;0;30;4140;0;0;0;0;0;0;0;0
12.05.2022;0;223571;175600;0;0;0;136108;0;0;0;0;179197;0;32;4140;0;0;0;0;0;0;0;0
13.05.2022;0;223571;175600;0;0;0;136108;0;0;0;0;179197;0;9;4140;0;0;0;0;0;0;0;0
14.05.2022;0;223571;180133,3333;0;0;0;136108;0;0;0;0;179197;0;9,666666667;4140;0;0;0;0;0;0;0;0
15.05.2022;0;223571;184666,6667;0;0;0;136108;0;0;0;0;179197;0;10,33333333;4140;0;0;0;0;0;0;0;0
16.05.2022;0;223571;189200;0;0;0;136108;0;0;0;0;179197;0;11;4140;0;0;0;0;0;0;0;0
17.05.2022;0;223571;246900;0;0;0;136108;0;0;0;0;179197;0;13;4140;0;0;0;0;0;0;0;0
3.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;179197;0;1;4140;0;0;0;0;0;0;0;0
7.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;166697;0;0;4140;0;0;0;0;0;0;0;0
10.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;151697;0;32;4140;0;0;0;0;0;0;0;0
11.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;151697;0;22;4140;0;0;0;0;0;0;0;0
12.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;151697;0;12;4140;0;0;0;0;0;0;0;0
13.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;151697;0;2;4140;0;0;0;0;0;0;0;0
15.06.2022;0;223571;246900;0;0;0;136108;0;0;0;0;151697;0;8;4140;0;0;0;0;0;0;0;0
